mesh 1,mesh 1,mesh 1,score,mean,std. dev.
x,y,z,,,
59,6,1,fission,7.386453624083621e-05,1.700161817842566e-06
60,6,1,fission,7.624185948075281e-05,1.6686176106661481e-06
61,6,1,fission,7.526807624047358e-05,1.8715707063345906e-06
62,6,1,fission,7.378410477906247e-05,1.592000585888372e-06
63,6,1,fission,7.28675780084715e-05,1.865801903149229e-06
64,6,1,fission,7.492712958294843e-05,1.7092418544254037e-06
65,6,1,fission,7.656568907637012e-05,2.04157251611345e-06
66,6,1,fission,7.706310441503054e-05,1.9483163198960004e-06
67,6,1,fission,7.483734553771783e-05,1.8991602346017114e-06
68,6,1,fission,7.503260653403407e-05,1.5790753330463232e-06
69,6,1,fission,7.808437538175935e-05,1.7359584331787907e-06
70,6,1,fission,7.71423649881602e-05,1.5913843947396786e-06
71,6,1,fission,7.730121921045197e-05,1.63228378676586e-06
72,6,1,fission,7.60546358153805e-05,1.8524575389584955e-06
73,6,1,fission,4.9687398879909294e-05,1.210975766406058e-06
74,6,1,fission,1.1706111286132984e-05,3.8245571852081507e-07
75,6,1,fission,0.0,0.0
76,6,1,fission,0.0,0.0
77,6,1,fission,0.0,0.0
78,6,1,fission,0.0,0.0
79,6,1,fission,0.0,0.0
80,6,1,fission,0.0,0.0
81,6,1,fission,0.0,0.0
82,6,1,fission,0.0,0.0
83,6,1,fission,0.0,0.0
84,6,1,fission,0.0,0.0
85,6,1,fission,0.0,0.0
86,6,1,fission,0.0,0.0
87,6,1,fission,0.0,0.0
88,6,1,fission,0.0,0.0
89,6,1,fission,0.0,0.0
90,6,1,fission,0.0,0.0
91,6,1,fission,0.0,0.0
92,6,1,fission,0.0,0.0
93,6,1,fission,0.0,0.0
94,6,1,fission,0.0,0.0
95,6,1,fission,0.0,0.0
96,6,1,fission,0.0,0.0
97,6,1,fission,0.0,0.0
98,6,1,fission,0.0,0.0
99,6,1,fission,0.0,0.0
100,6,1,fission,0.0,0.0
1,7,1,fission,0.0,0.0
2,7,1,fission,0.0,0.0
3,7,1,fission,0.0,0.0
4,7,1,fission,0.0,0.0
5,7,1,fission,0.0,0.0
6,7,1,fission,0.0,0.0
7,7,1,fission,0.0,0.0
8,7,1,fission,0.0,0.0
9,7,1,fission,0.0,0.0
10,7,1,fission,0.0,0.0
11,7,1,fission,0.0,0.0
12,7,1,fission,0.0,0.0
13,7,1,fission,0.0,0.0
14,7,1,fission,0.0,0.0
15,7,1,fission,0.0,0.0
16,7,1,fission,0.0,0.0
17,7,1,fission,0.0,0.0
18,7,1,fission,0.0,0.0
19,7,1,fission,0.0,0.0
20,7,1,fission,0.0,0.0
21,7,1,fission,0.0,0.0
22,7,1,fission,0.0,0.0
23,7,1,fission,0.0,0.0
24,7,1,fission,0.0,0.0
